bs,seql,t(ms)
2,16,29.849
2,32,29.915
2,48,30.699
2,64,31.177
2,80,34.873
2,96,34.191
2,112,35.682
2,128,36.092
2,144,43.415
2,160,43.697
2,176,41.966
2,192,42.224
2,208,48.386
2,224,48.967
2,240,49.089
2,256,50.244
2,272,58.284
2,288,58.588
2,304,59.001
2,320,59.871
2,336,64.514
2,352,64.878
2,368,64.778
2,384,66.125
4,16,30.094
4,32,31.174
4,48,34.286
4,64,36.213
4,80,43.728
4,96,42.44
4,112,48.994
4,128,50.395
4,144,59.045
4,160,59.884
4,176,65.201
4,192,66.161
4,208,74.687
4,224,78.092
4,240,81.062
4,256,84.093
4,272,91.627
4,288,94.917
4,304,98.878
4,320,100.356
4,336,108.664
4,352,111.579
4,368,116.667
4,384,120.153
6,16,30.861
6,32,34.256
6,48,43.617
6,64,42.335
6,80,49.309
6,96,58.869
6,112,64.852
6,128,66.219
6,144,76.44
6,160,81.548
6,176,90.669
6,192,94.458
6,208,98.181
6,224,108.639
6,240,115.712
6,256,119.045
6,272,126.989
6,288,137.973
6,304,144.647
6,320,149.401
6,336,156.635
6,352,164.261
6,368,170.775
6,384,177.785
8,16,31.399
8,32,36.433
8,48,42.509
8,64,50.558
8,80,59.378
8,96,66.339
8,112,78.442
8,128,84.109
8,144,94.516
8,160,100.438
8,176,111.611
8,192,119.934
8,208,127.944
8,224,141.946
8,240,148.64
8,256,158.537
8,272,171.272
8,288,177.703
8,304,183.526
8,320,190.989
8,336,203.388
8,352,214.468
8,368,222.427
8,384,224.477
10,16,35.146
10,32,44.074
10,48,49.597
10,64,59.505
10,80,75.026
10,96,81.574
10,112,92.684
10,128,100.145
10,144,116.244
10,160,126.556
10,176,137.971
10,192,149.189
10,208,162.014
10,224,174.783
10,240,181.594
10,256,189.957
10,272,206.577
10,288,218.288
10,304,224.434
10,320,237.378
10,336,245.181
10,352,271.445
10,368,276.938
10,384,288.57
12,16,34.458
12,32,42.397
12,48,59.136
12,64,66.302
12,80,81.194
12,96,94.978
12,112,108.266
12,128,119.36
12,144,137.501
12,160,149.047
12,176,164.856
12,192,177.602
12,208,182.946
12,224,201.808
12,240,217.721
12,256,222.44
12,272,238.529
12,288,245.982
12,304,276.118
12,320,287.725
12,336,293.687
12,352,309.009
12,368,330.007
12,384,334.951
14,16,36.047
14,32,49.068
14,48,65.455
14,64,78.62
14,80,92.778
14,96,108.166
14,112,121.912
14,128,141.799
14,144,156.438
14,160,174.406
14,176,183.984
14,192,201.685
14,208,219.332
14,224,234.176
14,240,243.939
14,256,272.66
14,272,288.899
14,288,294.198
14,304,322.162
14,320,332.052
14,336,347.035
14,352,362.493
14,368,386.199
14,384,391.622
16,16,36.418
16,32,50.575
16,48,66.242
16,64,84.608
16,80,100.707
16,96,119.151
16,112,142.316
16,128,156.145
16,144,177.813
16,160,190.362
16,176,214.98
16,192,224.286
16,208,238.711
16,224,273.977
16,240,287.225
16,256,295.353
16,272,320.485
16,288,335.899
16,304,352.543
16,320,364.809
16,336,390.661
16,352,405.733
16,368,421.022
16,384,451.24
18,16,43.793
18,32,59.226
18,48,75.863
18,64,94.987
18,80,115.571
18,96,137.473
18,112,156.379
18,128,176.269
18,144,200.392
18,160,217.939
18,176,234.935
18,192,245.369
18,208,278.348
18,224,293.607
18,240,322.441
18,256,334.896
18,272,362.446
18,288,387.011
18,304,402.761
18,320,416.446
18,336,443.246
18,352,458.694
18,368,482.389
18,384,498.128
20,16,43.962
20,32,59.901
20,48,81.535
20,64,99.872
20,80,126.221
20,96,150.419
20,112,174.501
20,128,190.269
20,144,217.98
20,160,237.114
20,176,270.499
20,192,288.55
20,208,306.839
20,224,331.077
20,240,347.516
20,256,364.851
20,272,403.656
20,288,417.479
20,304,445.046
20,320,465.746
20,336,486.402
20,352,518.627
20,368,539.62
20,384,556.543
22,16,42.417
22,32,65.242
22,48,90.714
22,64,111.12
22,80,138.679
22,96,164.871
22,112,183.044
22,128,215.305
22,144,235.788
22,160,272.258
22,176,290.53
22,192,309.011
22,208,334.605
22,224,360.753
22,240,389.177
22,256,406.95
22,272,432.06
22,288,460.974
22,304,486.602
22,320,520.226
22,336,541.881
22,352,576.014
22,368,593.581
22,384,616.245
24,16,42.614
24,32,66.837
24,48,95.303
24,64,119.812
24,80,149.288
24,96,177.963
24,112,202.58
24,128,222.174
24,144,247.582
24,160,288.672
24,176,307.309
24,192,334.697
24,208,362.11
24,224,391.381
24,240,415.807
24,256,449.648
24,272,477.364
24,288,497.68
24,304,535.851
24,320,558.296
24,336,590.154
24,352,616.667
24,368,642.687
24,384,662.06
26,16,49.001
26,32,76.11
26,48,98.474
26,64,128.027
26,80,161.653
26,96,182.885
26,112,218.365
26,128,238.789
26,144,279.26
26,160,308.911
26,176,335.256
26,192,363.079
26,208,401.346
26,224,418.741
26,240,455.694
26,256,481.514
26,272,523.582
26,288,549.637
26,304,584.35
26,320,604.778
26,336,641.556
26,352,659.835
26,368,704.669
26,384,727.104
28,16,49.435
28,32,78.44
28,48,109.136
28,64,142.217
28,80,174.909
28,96,202.047
28,112,234.344
28,128,273.233
28,144,294.12
28,160,331.192
28,176,361.558
28,192,390.046
28,208,419.609
28,224,456.869
28,240,487.94
28,256,524.4
28,272,558.28
28,288,592.744
28,304,621.482
28,320,647.804
28,336,680.974
28,352,723.509
28,368,746.162
28,384,783.386
30,16,49.823
30,32,81.698
30,48,116.827
30,64,149.563
30,80,182.554
30,96,218.532
30,112,244.446
30,128,288.131
30,144,318.806
30,160,349.234
30,176,387.385
30,192,416.269
30,208,457.085
30,224,487.307
30,240,531.648
30,256,556.321
30,272,599.574
30,288,632.285
30,304,654.72
30,320,702.671
30,336,735.992
30,352,779.387
30,368,806.156
30,384,842.587
32,16,51.106
32,32,85.462
32,48,120.219
32,64,158.064
32,80,191.617
32,96,223.335
32,112,273.765
32,128,296.404
32,144,337.297
32,160,365.546
32,176,407.039
32,192,450.791
32,208,483.423
32,224,523.069
32,240,556.339
32,256,597.025
32,272,644.307
32,288,666.558
32,304,710.404
32,320,741.167
32,336,786.33
32,352,824.871
32,368,859.56
32,384,896.678
