bs,seql,t(ms)
30,208,18.193
30,224,18.308
30,240,18.332
30,256,18.689
30,272,18.886
30,288,18.866
30,304,18.895
30,320,19.321
30,336,19.345
30,352,19.444
30,368,19.43
30,384,19.793
32,16,16.048
32,32,16.242
32,48,16.157
32,64,16.797
32,80,16.855
32,96,16.87
32,112,16.981
32,128,17.433
32,144,17.412
32,160,17.486
32,176,17.464
32,192,18.117
32,208,18.051
32,224,18.121
32,240,18.07
32,256,18.587
32,272,18.639
32,288,18.646
32,304,18.684
32,320,19.047
32,336,19.291
32,352,19.234
32,368,19.305
32,384,19.771
