mem,bandwidth(MB/ms)
26214400,11.09
26279936,11.25
26345472,11.16
26411008,9.29
26476544,11.18
26542080,11.22
26607616,11.21
26673152,11.23
26738688,11.22
26804224,11.14
26869760,11.12
26935296,11.19
27000832,11.15
27066368,11.14
27131904,11.1
27197440,11.14
27262976,11.07
27328512,11.11
27394048,11.08
27459584,11.1
27525120,11.12
27590656,11.07
27656192,11.16
27721728,11.15
27787264,11.16
27852800,11.11
27918336,11.1
27983872,11.09
28049408,11.15
28114944,11.02
28180480,11.07
28246016,10.99
28311552,11.04
28377088,11.02
28442624,11.06
28508160,11.1
28573696,11.07
28639232,11.09
28704768,11.16
28770304,11.12
28835840,11.06
28901376,11.07
28966912,11.07
29032448,11.04
29097984,11.06
29163520,11.04
29229056,11.07
29294592,10.99
29360128,10.98
29425664,11.03
29491200,11.0
29556736,11.04
29622272,11.02
29687808,11.03
29753344,11.02
29818880,11.01
29884416,11.11
29949952,9.8
30015488,11.03
30081024,10.97
30146560,11.04
30212096,10.92
30277632,11.04
30343168,10.91
30408704,11.01
30474240,10.95
30539776,10.94
30605312,11.02
30670848,11.02
30736384,11.07
30801920,11.08
30867456,11.03
30932992,11.02
30998528,10.93
31064064,10.98
31129600,11.0
31195136,11.0
31260672,10.95
31326208,10.96
31391744,10.86
31457280,10.9
31522816,10.97
31588352,11.05
31653888,8.7
31719424,10.97
31784960,11.06
31850496,11.06
31916032,11.1
31981568,9.73
32047104,10.96
32112640,11.1
32178176,10.92
32243712,11.02
32309248,10.95
32374784,11.04
32440320,10.96
32505856,10.99
32571392,10.4
32636928,10.97
32702464,10.98
32768000,11.03
32833536,11.0
32899072,11.0
32964608,10.99
33030144,11.11
33095680,11.0
33161216,11.01
33226752,10.99
33292288,10.97
33357824,11.0
33423360,11.04
33488896,10.98
33554432,11.04
33619968,10.94
33685504,11.06
33751040,10.92
33816576,11.11
33882112,9.84
33947648,11.32
34013184,11.24
34078720,11.25
34144256,11.18
34209792,11.26
34275328,11.26
34340864,11.25
34406400,11.17
34471936,11.23
34537472,11.16
34603008,10.81
34668544,11.09
34734080,11.15
34799616,11.21
34865152,11.26
34930688,11.28
34996224,11.21
35061760,11.25
35127296,11.27
35192832,11.2
35258368,10.77
35323904,11.03
35389440,11.17
35454976,11.19
35520512,11.22
35586048,11.22
35651584,11.22
35717120,11.2
35782656,11.25
35848192,11.24
35913728,11.26
35979264,9.81
36044800,11.19
36110336,11.29
36175872,11.29
36241408,11.25
36306944,11.22
36372480,11.25
36438016,11.24
36503552,11.24
36569088,11.2
36634624,11.15
36700160,11.22
36765696,11.23
36831232,11.23
36896768,11.24
36962304,11.28
37027840,11.25
37093376,11.27
37158912,11.26
37224448,11.27
37289984,11.24
37355520,11.22
37421056,11.22
37486592,11.21
37552128,11.23
37617664,11.21
37683200,11.19
37748736,11.2
37814272,11.19
37879808,11.2
37945344,11.22
38010880,11.19
38076416,11.23
38141952,11.23
38207488,11.26
38273024,11.24
38338560,11.23
38404096,11.19
38469632,11.2
38535168,11.15
38600704,11.19
38666240,11.09
38731776,10.88
38797312,11.16
38862848,11.18
38928384,11.17
38993920,11.16
39059456,10.5
39124992,10.01
39190528,9.64
39256064,10.93
39321600,11.06
39387136,7.85
39452672,9.93
39518208,10.99
39583744,11.08
39649280,11.11
39714816,11.12
39780352,11.1
39845888,11.09
39911424,11.11
39976960,11.13
40042496,11.15
40108032,11.16
40173568,11.17
40239104,11.18
40304640,11.18
40370176,11.15
40435712,11.16
40501248,11.16
40566784,11.15
40632320,11.15
40697856,11.14
40763392,11.14
40828928,11.12
40894464,11.11
40960000,10.04
41025536,11.14
41091072,11.14
41156608,11.15
41222144,11.15
41287680,11.16
41353216,11.16
41418752,11.16
41484288,11.14
41549824,11.12
41615360,11.15
41680896,11.11
41746432,11.12
41811968,11.1
41877504,11.11
41943040,11.08
42008576,11.09
42074112,11.05
42139648,11.09
42205184,11.11
42270720,11.13
42336256,11.12
42401792,11.12
42467328,11.08
42532864,11.12
42598400,11.09
42663936,11.07
42729472,11.08
42795008,11.07
42860544,11.07
42926080,11.07
42991616,11.06
43057152,11.05
43122688,11.08
43188224,11.06
43253760,11.05
43319296,11.08
43384832,11.1
43450368,11.08
43515904,11.11
43581440,11.1
43646976,11.09
43712512,11.08
43778048,11.06
43843584,11.05
43909120,11.06
43974656,11.05
44040192,11.05
44105728,11.02
44171264,11.06
44236800,11.05
44302336,11.04
44367872,10.15
44433408,11.08
44498944,11.1
44564480,11.07
44630016,11.07
44695552,11.05
44761088,11.06
44826624,11.04
44892160,11.02
44957696,11.02
45023232,11.03
45088768,11.03
45154304,11.0
45219840,11.03
45285376,11.04
45350912,11.04
45416448,11.04
45481984,11.05
45547520,11.07
45613056,11.07
45678592,11.06
45744128,11.05
45809664,11.04
45875200,11.0
45940736,11.02
46006272,10.04
46071808,11.02
46137344,10.99
46202880,11.01
46268416,11.02
46333952,11.01
46399488,10.75
46465024,10.39
46530560,9.82
46596096,10.74
46661632,10.88
46727168,10.92
46792704,10.95
46858240,10.85
46923776,10.91
46989312,10.97
47054848,9.73
47120384,10.57
47185920,10.75
47251456,10.61
47316992,10.94
47382528,10.99
47448064,11.02
47513600,10.99
47579136,10.93
47644672,10.94
47710208,11.0
47775744,11.03
47841280,11.02
47906816,8.39
47972352,10.95
48037888,10.97
48103424,10.92
48168960,10.96
48234496,10.97
48300032,10.97
48365568,10.94
48431104,10.98
48496640,10.99
48562176,10.96
48627712,11.01
48693248,11.01
48758784,10.98
48824320,10.96
48889856,10.8
48955392,10.91
49020928,10.96
49086464,10.93
49152000,10.95
49217536,10.96
49283072,10.93
49348608,10.95
49414144,10.96
49479680,10.95
49545216,10.96
49610752,10.97
49676288,10.99
49741824,10.98
49807360,10.98
49872896,10.98
49938432,10.92
50003968,10.95
50069504,10.94
50135040,10.94
50200576,10.94
50266112,10.95
50331648,10.94
50397184,10.93
50462720,10.94
50528256,10.95
50593792,10.95
50659328,10.97
50724864,10.96
50790400,10.97
50855936,10.95
50921472,10.9
50987008,10.94
51052544,10.93
51118080,10.92
51183616,10.93
51249152,10.92
51314688,10.91
51380224,10.91
51445760,10.92
51511296,10.92
51576832,9.9
51642368,10.93
51707904,10.94
51773440,10.95
51838976,10.94
51904512,10.85
51970048,10.89
52035584,10.82
52101120,10.91
52166656,10.92
52232192,10.9
52297728,10.89
52363264,10.89
52428800,10.87
52494336,10.51
52559872,10.11
52625408,10.9
52690944,10.9
52756480,10.92
52822016,10.92
52887552,10.87
52953088,10.92
53018624,10.9
53084160,10.93
53149696,10.89
53215232,10.89
53280768,10.88
53346304,10.88
53411840,10.88
53477376,10.85
53542912,10.89
53608448,10.88
53673984,10.9
53739520,10.9
53805056,10.82
53870592,10.9
53936128,10.89
54001664,10.9
54067200,10.9
54132736,10.89
54198272,10.89
54263808,10.88
54329344,10.87
54394880,10.78
54460416,10.83
54525952,10.86
54591488,10.87
54657024,10.78
54722560,10.88
54788096,10.16
54853632,10.88
54919168,10.9
54984704,10.9
55050240,10.91
55115776,10.9
55181312,10.88
55246848,9.95
55312384,10.79
55377920,10.85
55443456,10.85
55508992,10.85
55574528,10.77
55640064,10.83
55705600,10.08
55771136,10.85
55836672,10.9
55902208,10.89
55967744,10.88
56033280,10.87
56098816,10.89
56164352,10.19
56229888,10.85
56295424,10.86
56360960,10.87
56426496,10.85
56492032,10.76
56557568,10.83
56623104,9.78
56688640,10.83
56754176,10.86
56819712,10.85
56885248,10.82
56950784,10.88
57016320,10.88
57081856,10.09
57147392,8.42
57212928,10.86
57278464,10.87
57344000,10.87
57409536,10.8
57475072,10.84
57540608,9.95
57606144,10.82
57671680,10.81
57737216,10.83
57802752,10.83
57868288,10.84
57933824,10.59
57999360,10.72
58064896,10.82
58130432,10.84
58195968,10.83
58261504,10.8
58327040,10.82
58392576,10.81
58458112,10.82
58523648,10.82
58589184,10.83
58654720,10.8
58720256,10.8
58785792,10.77
58851328,10.81
58916864,10.84
58982400,10.85
59047936,10.83
59113472,10.82
59179008,10.84
59244544,10.81
59310080,10.83
59375616,10.83
59441152,10.82
59506688,10.81
59572224,10.81
59637760,10.77
59703296,10.79
59768832,10.79
59834368,10.79
59899904,10.8
59965440,10.79
60030976,10.81
60096512,10.8
60162048,10.83
