mem,bandwidth(MB/ms)
26214400,10.93
26279936,10.26
26345472,9.55
26411008,11.1
26476544,11.14
26542080,10.85
26607616,10.99
26673152,11.08
26738688,11.12
26804224,11.06
26869760,11.12
26935296,11.03
27000832,10.93
27066368,10.97
27131904,10.36
27197440,10.4
27262976,10.71
27328512,10.7
27394048,10.32
27459584,10.64
27525120,10.74
27590656,10.64
27656192,10.55
27721728,10.69
27787264,10.7
27852800,9.44
27918336,10.55
27983872,10.32
28049408,10.53
28114944,10.66
28180480,10.72
28246016,10.31
28311552,10.62
28377088,10.56
28442624,10.7
28508160,10.56
28573696,10.74
28639232,10.62
28704768,10.75
28770304,10.62
28835840,10.77
28901376,10.62
28966912,10.59
29032448,10.61
29097984,10.51
29163520,10.62
29229056,10.57
29294592,9.48
29360128,10.52
29425664,10.59
29491200,10.56
29556736,10.64
29622272,10.57
29687808,10.61
29753344,10.56
29818880,10.65
29884416,10.59
29949952,10.61
30015488,10.69
30081024,10.53
30146560,10.67
30212096,10.47
30277632,10.64
30343168,10.47
30408704,10.53
30474240,10.53
30539776,10.61
30605312,10.51
30670848,10.67
30736384,10.49
30801920,10.67
30867456,10.48
30932992,10.68
30998528,10.52
31064064,10.67
31129600,10.45
31195136,10.58
31260672,10.43
31326208,9.2
31391744,10.43
31457280,10.63
31522816,10.32
31588352,10.56
31653888,8.19
31719424,10.66
31784960,10.46
31850496,10.69
31916032,10.45
31981568,10.61
32047104,10.49
32112640,10.6
32178176,10.45
32243712,10.58
32309248,10.43
32374784,10.55
32440320,10.38
32505856,10.54
32571392,10.38
32636928,10.56
32702464,10.43
32768000,10.6
32833536,10.44
32899072,10.6
32964608,10.48
33030144,10.62
33095680,10.44
33161216,10.6
33226752,10.41
33292288,10.54
33357824,10.4
33423360,10.54
33488896,10.39
33554432,10.53
33619968,10.37
33685504,10.54
33751040,10.41
33816576,10.6
33882112,10.69
33947648,10.72
34013184,10.76
34078720,10.74
34144256,10.71
34209792,10.72
34275328,10.71
34340864,10.71
34406400,10.7
34471936,10.69
34537472,10.44
34603008,10.6
34668544,10.66
34734080,10.67
34799616,10.71
34865152,10.72
34930688,10.72
34996224,10.72
35061760,10.73
35127296,10.72
35192832,10.71
35258368,10.68
35323904,10.73
35389440,10.71
