bs,seql,t(ms)
2,16,23.706
2,32,25.059
2,48,27.722
2,64,31.31
2,80,32.672
2,96,35.622
2,112,38.304
2,128,37.587
2,144,48.929
2,160,49.758
2,176,50.55
2,192,50.768
2,208,65.736
2,224,67.884
2,240,67.679
2,256,70.923
2,272,80.088
2,288,82.27
2,304,83.167
2,320,82.83
2,336,98.422
2,352,98.462
2,368,99.709
2,384,99.723
4,16,25.136
4,32,31.337
4,48,35.527
4,64,37.622
4,80,49.394
4,96,50.557
4,112,67.119
4,128,70.851
4,144,80.732
4,160,82.768
4,176,98.037
4,192,100.291
4,208,110.09
4,224,111.326
4,240,128.328
4,256,136.905
4,272,144.191
4,288,146.796
4,304,158.592
4,320,160.658
4,336,179.688
4,352,190.216
4,368,192.945
4,384,195.43
6,16,28.035
6,32,36.035
6,48,48.636
6,64,50.934
6,80,68.749
6,96,80.638
6,112,97.452
6,128,100.862
6,144,111.869
6,160,128.015
6,176,141.564
6,192,146.717
6,208,159.488
6,224,179.992
6,240,189.121
6,256,194.076
6,272,217.542
6,288,228.191
6,304,241.843
6,320,243.724
6,336,251.056
6,352,281.325
6,368,289.619
6,384,293.023
8,16,31.795
8,32,37.739
8,48,50.961
8,64,70.644
8,80,82.772
8,96,100.834
8,112,113.026
8,128,137.02
8,144,146.219
8,160,160.808
8,176,189.168
8,192,193.795
8,208,217.393
8,224,228.304
8,240,244.182
8,256,254.215
8,272,283.786
8,288,294.263
8,304,311.081
8,320,329.096
8,336,337.936
8,352,359.974
8,368,372.285
8,384,383.845
10,16,32.883
10,32,49.851
10,48,68.283
10,64,81.904
10,80,110.131
10,96,127.597
10,112,145.435
10,128,160.326
10,144,190.681
10,160,214.183
10,176,227.92
10,192,245.807
10,208,281.89
10,224,291.913
10,240,311.254
10,256,329.976
10,272,361.059
10,288,373.773
10,304,387.663
10,320,403.641
10,336,423.964
10,352,453.622
10,368,472.879
10,384,478.838
12,16,36.07
12,32,51.237
12,48,81.05
12,64,100.328
12,80,128.407
12,96,146.295
12,112,178.642
12,128,194.062
12,144,227.533
12,160,244.392
12,176,280.798
12,192,291.231
12,208,321.143
12,224,336.089
12,240,369.598
12,256,384.767
12,272,412.886
12,288,424.629
12,304,469.12
12,320,477.53
12,336,497.68
12,352,532.567
12,368,558.284
12,384,569.987
14,16,38.81
14,32,67.4
14,48,96.902
14,64,112.626
14,80,144.797
14,96,179.625
14,112,210.96
14,128,228.556
14,144,250.465
14,160,290.623
14,176,325.644
14,192,335.662
14,208,367.028
14,224,397.571
14,240,418.709
14,256,451.401
14,272,476.752
14,288,498.846
14,304,540.36
14,320,559.998
14,336,587.646
14,352,622.583
14,368,647.49
14,384,664.993
16,16,38.006
16,32,71.014
16,48,100.585
16,64,137.42
16,80,160.555
16,96,193.763
16,112,228.99
16,128,253.694
16,144,294.351
16,160,327.884
16,176,359.963
16,192,383.734
16,208,414.007
16,224,453.094
16,240,476.727
16,256,499.449
16,272,546.607
16,288,573.047
16,304,616.696
16,320,641.948
16,336,672.869
16,352,709.134
16,368,736.907
16,384,760.143
