bs,seql,t(ms)
2,16,22.401
2,32,22.473
2,48,22.453
2,64,22.59
2,80,22.6
2,96,22.616
2,112,22.605
2,128,22.646
2,144,22.692
2,160,22.768
2,176,22.737
2,192,22.782
2,208,22.796
2,224,22.847
2,240,22.822
2,256,22.881
4,16,22.514
4,32,22.611
4,48,22.623
4,64,22.68
4,80,22.722
4,96,22.742
4,112,22.765
4,128,22.846
4,144,22.867
4,160,22.943
4,176,22.947
4,192,22.992
4,208,23.045
4,224,23.057
4,240,23.064
4,256,23.144
6,16,22.782
6,32,22.878
6,48,22.928
6,64,23.006
6,80,23.057
6,96,23.088
6,112,23.148
6,128,23.253
6,144,23.295
6,160,23.331
6,176,23.389
6,192,23.476
6,208,23.541
6,224,23.552
6,240,23.645
6,256,23.731
8,16,22.935
8,32,23.059
8,48,23.093
8,64,23.201
8,80,23.249
8,96,23.32
8,112,23.382
8,128,23.485
8,144,23.578
8,160,23.682
8,176,23.739
8,192,23.823
8,208,23.879
8,224,23.932
8,240,23.983
8,256,24.069
10,16,23.13
10,32,23.177
10,48,23.281
10,64,23.404
10,80,23.467
10,96,23.566
10,112,23.68
10,128,23.81
10,144,23.875
10,160,23.968
10,176,24.034
10,192,24.117
10,208,24.183
10,224,24.316
10,240,24.412
10,256,24.518
12,16,23.696
12,32,23.816
12,48,23.887
12,64,24.061
12,80,24.199
12,96,24.307
12,112,24.42
12,128,24.61
12,144,24.698
12,160,24.766
12,176,24.887
12,192,25.021
12,208,25.104
12,224,25.234
12,240,25.353
12,256,25.54
14,16,23.851
14,32,23.926
14,48,24.015
14,64,24.265
14,80,24.347
14,96,24.495
14,112,24.637
14,128,24.82
14,144,24.876
14,160,25.015
14,176,25.063
14,192,25.272
14,208,25.371
14,224,25.543
14,240,25.622
14,256,25.855
16,16,23.99
16,32,24.095
16,48,24.15
16,64,24.416
16,80,24.544
16,96,24.727
16,112,24.788
16,128,24.99
16,144,25.13
16,160,25.245
16,176,25.373
16,192,25.582
16,208,25.698
16,224,25.825
16,240,25.936
16,256,26.171
18,16,23.654
18,32,23.748
18,48,23.929
18,64,24.194
18,80,24.291
18,96,24.466
18,112,24.589
18,128,24.796
18,144,24.92
18,160,25.072
18,176,25.247
18,192,25.647
18,208,25.525
18,224,25.711
18,240,25.83
18,256,26.043
20,16,23.727
20,32,23.882
20,48,24.049
20,64,24.345
20,80,24.493
20,96,24.632
20,112,24.788
20,128,25.023
20,144,25.16
20,160,25.3
20,176,25.51
20,192,25.782
20,208,25.856
20,224,25.973
20,240,26.183
20,256,26.365
22,16,23.869
22,32,23.988
22,48,24.23
22,64,24.549
22,80,24.894
22,96,24.848
22,112,25.045
22,128,25.363
22,144,25.522
22,160,25.68
22,176,25.983
22,192,26.138
22,208,26.304
22,224,26.499
22,240,26.677
22,256,26.919
24,16,23.942
24,32,24.113
24,48,24.373
24,64,24.734
24,80,24.794
24,96,25.017
24,112,25.222
24,128,25.525
24,144,25.734
24,160,25.876
24,176,26.086
24,192,26.371
24,208,26.535
24,224,26.742
24,240,26.949
24,256,27.252
26,16,24.016
26,32,24.218
26,48,24.489
26,64,24.821
26,80,24.914
26,96,25.132
26,112,25.369
26,128,25.7
26,144,25.879
26,160,26.09
26,176,26.357
26,192,26.543
26,208,26.756
26,224,26.952
26,240,27.192
26,256,27.427
28,16,24.123
28,32,24.321
28,48,24.574
28,64,24.879
28,80,25.066
28,96,25.333
28,112,25.547
28,128,25.864
28,144,26.06
28,160,26.264
28,176,26.507
28,192,26.763
28,208,27.016
28,224,27.252
28,240,27.44
28,256,27.754
30,16,24.174
30,32,24.431
30,48,24.759
30,64,25.015
30,80,25.225
30,96,25.498
30,112,25.759
30,128,26.074
30,144,26.253
30,160,26.552
30,176,26.774
30,192,27.051
30,208,27.274
30,224,27.526
30,240,27.834
30,256,28.095
32,16,24.268
32,32,24.617
32,48,24.833
32,64,25.224
32,80,25.433
32,96,25.673
32,112,25.936
32,128,26.286
32,144,26.539
32,160,26.794
32,176,27.058
32,192,27.372
32,208,27.653
32,224,27.869
32,240,28.188
32,256,28.505
